route_name,dir_id,day_type_id,day_type_name,time_period_name,stop_name,average_ons,average_offs,average_flow,ObjectId
Blue Line,EB,day_type_01,Weekday,MIDDAY_SCHOOL,Wonderland,0,761,0,242
Blue Line,EB,day_type_01,Weekday,EARLY_AM,Wood Island,10,64,135,243
Blue Line,WB,day_type_01,Weekday,AM_PEAK,Airport,1263,231,5600,244
Blue Line,EB,day_type_01,Weekday,AM_PEAK,Airport,82,223,439,245
Blue Line,EB,day_type_01,Weekday,MIDDAY_SCHOOL,Wood Island,68,304,2072,246
Blue Line,WB,day_type_01,Weekday,AM_PEAK,Aquarium,37,936,6545,247
Blue Line,EB,day_type_01,Weekday,AM_PEAK,Aquarium,81,100,785,248
Orange Line,NB,day_type_01,Weekday,MIDDAY_BASE,Stony Brook,581,50,2986,249
Blue Line,EB,day_type_01,Weekday,PM_PEAK,Airport,370,1083,4480,250
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Assembly,187,789,4775,251
Blue Line,WB,day_type_01,Weekday,AM_PEAK,Beachmont,820,31,3000,252
Blue Line,EB,day_type_01,Weekday,AM_PEAK,Beachmont,41,72,279,253
Orange Line,NB,day_type_01,Weekday,MIDDAY_BASE,Sullivan Square,128,507,2049,254
Blue Line,WB,day_type_01,Weekday,AM_PEAK,Bowdoin,0,775,0,255
Blue Line,EB,day_type_01,Weekday,AM_PEAK,Bowdoin,65,0,65,256
Orange Line,NB,day_type_01,Weekday,MIDDAY_BASE,Tufts Medical Center,546,445,4880,257
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Back Bay,1732,415,4662,258
Blue Line,EB,day_type_01,Weekday,PM_PEAK,Aquarium,845,182,6911,259
Orange Line,NB,day_type_01,Weekday,MIDDAY_BASE,Wellington,39,397,1172,260
Blue Line,EB,day_type_01,Weekday,PM_PEAK,Beachmont,54,927,2395,261
Blue Line,EB,day_type_01,Weekday,PM_PEAK,Bowdoin,779,0,779,262
Orange Line,NB,day_type_01,Weekday,MIDDAY_SCHOOL,Assembly,110,474,1967,263
Blue Line,WB,day_type_01,Weekday,AM_PEAK,Government Center,1,2845,782,264
Blue Line,EB,day_type_01,Weekday,PM_PEAK,Government Center,2881,24,3648,265
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Chinatown,581,264,5742,266
Blue Line,EB,day_type_01,Weekday,AM_PEAK,Government Center,371,3,433,267
Orange Line,NB,day_type_01,Weekday,MIDDAY_SCHOOL,Back Bay,871,433,3473,268
Blue Line,WB,day_type_01,Weekday,AM_PEAK,Maverick,2044,261,7324,269
Blue Line,EB,day_type_01,Weekday,PM_PEAK,Maverick,459,2303,5249,270
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Community College,271,463,5943,271
Blue Line,EB,day_type_01,Weekday,AM_PEAK,Maverick,123,321,572,272
Orange Line,NB,day_type_01,Weekday,MIDDAY_SCHOOL,Chinatown,418,218,3984,273
Blue Line,WB,day_type_01,Weekday,AM_PEAK,Orient Heights,1038,40,4180,274
Blue Line,EB,day_type_01,Weekday,PM_PEAK,Orient Heights,82,1035,3431,275
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Downtown Crossing,2094,1371,6420,276
Blue Line,EB,day_type_01,Weekday,AM_PEAK,Orient Heights,32,121,331,277
Orange Line,NB,day_type_01,Weekday,MIDDAY_SCHOOL,Community College,152,387,2900,278
Blue Line,WB,day_type_01,Weekday,AM_PEAK,Revere Beach,656,7,2205,279
Blue Line,EB,day_type_01,Weekday,PM_PEAK,Revere Beach,12,803,1581,280
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Forest Hills,1031,0,1031,281
Blue Line,EB,day_type_01,Weekday,AM_PEAK,Revere Beach,7,126,163,282
Orange Line,NB,day_type_01,Weekday,MIDDAY_SCHOOL,Downtown Crossing,1258,1242,4060,283
Blue Line,WB,day_type_01,Weekday,AM_PEAK,State,120,3074,3574,284
Blue Line,EB,day_type_01,Weekday,AM_PEAK,State,408,61,779,285
Orange Line,NB,day_type_01,Weekday,MIDDAY_SCHOOL,Forest Hills,1028,0,1028,286
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Green Street,324,30,1360,287
Blue Line,EB,day_type_01,Weekday,PM_PEAK,State,2882,207,6302,288
Blue Line,EB,day_type_01,Weekday,PM_PEAK,Suffolk Downs,11,215,3215,289
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Haymarket,320,382,6264,290
Blue Line,EB,day_type_01,Weekday,AM_PEAK,Suffolk Downs,4,20,309,291
Blue Line,EB,day_type_01,Weekday,PM_PEAK,Wonderland,0,1562,0,292
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Jackson Square,574,104,2147,293
Blue Line,EB,day_type_01,Weekday,AM_PEAK,Wonderland,0,164,0,294
Blue Line,EB,day_type_01,Weekday,PM_PEAK,Wood Island,64,379,3480,295
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Malden Center,22,1931,1747,296
Blue Line,EB,day_type_01,Weekday,AM_PEAK,Wood Island,24,88,358,297
Blue Line,EB,day_type_01,Weekday,EVENING,Airport,393,874,2938,298
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Massachusetts Avenue,560,254,3262,299
Blue Line,EB,day_type_01,Weekday,MIDDAY_BASE,Airport,261,613,1737,300
Blue Line,EB,day_type_01,Weekday,EVENING,Aquarium,639,96,4765,301
Orange Line,NB,day_type_01,Weekday,PM_PEAK,North Station,1165,1189,6250,302
Blue Line,EB,day_type_01,Weekday,MIDDAY_BASE,Aquarium,272,209,2905,303
Blue Line,EB,day_type_01,Weekday,EVENING,Beachmont,39,632,1587,304
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Oak Grove,0,1717,0,305
Blue Line,EB,day_type_01,Weekday,MIDDAY_BASE,Beachmont,59,346,925,306
Blue Line,EB,day_type_01,Weekday,EVENING,Bowdoin,327,0,327,307
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Roxbury Crossing,499,107,2547,308
Blue Line,EB,day_type_01,Weekday,MIDDAY_BASE,Bowdoin,247,0,247,309
Blue Line,EB,day_type_01,Weekday,EVENING,Government Center,2128,9,2447,310
Blue Line,EB,day_type_01,Weekday,EVENING,Maverick,347,1721,3408,311
Blue Line,EB,day_type_01,Weekday,EVENING,Orient Heights,72,714,2250,312
Blue Line,EB,day_type_01,Weekday,EVENING,Revere Beach,10,631,978,313
Blue Line,EB,day_type_01,Weekday,EVENING,State,1809,143,4139,314
Blue Line,EB,day_type_01,Weekday,EVENING,Suffolk Downs,6,136,2151,315
Blue Line,EB,day_type_01,Weekday,EVENING,Wonderland,0,998,0,316
Blue Line,EB,day_type_01,Weekday,EVENING,Wood Island,49,306,2252,317
Blue Line,EB,day_type_01,Weekday,LATE_EVENING,Airport,255,505,1749,318
Blue Line,EB,day_type_01,Weekday,LATE_EVENING,Aquarium,426,25,2930,319
Blue Line,EB,day_type_01,Weekday,LATE_EVENING,Beachmont,9,387,850,320
Blue Line,EB,day_type_01,Weekday,LATE_EVENING,Bowdoin,173,0,173,321
Blue Line,EB,day_type_01,Weekday,LATE_EVENING,Government Center,1533,4,1703,322
Blue Line,EB,day_type_01,Weekday,LATE_EVENING,Maverick,119,1009,2013,323
Blue Line,EB,day_type_01,Weekday,LATE_EVENING,Orient Heights,26,418,1333,324
Blue Line,EB,day_type_01,Weekday,LATE_EVENING,Revere Beach,4,473,394,325
Blue Line,EB,day_type_01,Weekday,LATE_EVENING,State,878,58,2521,326
Blue Line,EB,day_type_01,Weekday,LATE_EVENING,Suffolk Downs,4,61,1257,327
Blue Line,EB,day_type_01,Weekday,LATE_EVENING,Wonderland,0,408,0,328
Blue Line,EB,day_type_01,Weekday,LATE_EVENING,Wood Island,28,243,1374,329
